Isotope		Decay Product
^1^H  		^1^H
^2^H  		^2^H
^3^H  		^3^He
^3^He 		^3^He
^4^He 		^4^He
^6^Li 		^6^Li
^7^Li 		^7^Li
^7^Be 		^7^Li
^9^Be 		^9^Be 
^10^Be		^10^B
^10^B 		^10^B 
^11^B 		^11^B 
^11^C 		^12^C 
^12^C 		^12^C 
^13^C 		^13^C 
^14^C 		^14^N 
^13^N 		^13^C 
^14^N 		^14^N 
^15^N 		^15^N 
^16^N 		^16^O 
^15^O 		^15^N 
^16^O 		^16^O 
^17^O 		^17^O 
^18^O 		^18^O 
^19^O 		^19^F 
^17^F 		^17^O 
^18^F 		^18^O 
^19^F 		^19^F 
^20^F 		^20^Ne 
^20^Ne		^20^Ne
^21^Ne		^21^Ne
^22^Ne		^22^Ne
^23^Ne		^23^Na
^21^Na		^21^Ne
^22^Na		^22^Ne
^23^Na		^23^Na
^24^Na		^24^Mg
^23^Mg		^23^Na
^24^Mg		^24^Mg
^25^Mg		^25^Mg
^26^Mg		^26^Mg
^27^Mg		^27^Al
^25^Al		^25^Mg
^26^Al		^26^Mg
^27^Al		^27^Al
^28^Al		^28^Si
^27^Si		^27^Al
^28^Si		^28^Si
^29^Si		^29^Si
^30^Si		^30^Si
^31^Si		^31^P
^32^Si		^32^S
^29^P 		^29^Si 
^30^P 		^30^Si 
^31^P 		^31^P 
^32^P 		^32^S 
^33^P 		^33^S 
^34^P 		^34^S 
^31^S 		^31^P 
^32^S 		^32^S 
^33^S 		^33^S 
^34^S 		^34^S 
^35^S 		^35^Cl 
^36^S 		^36^S 
^37^S 		^37^Cl 
^33^Cl		^33^S
^34^Cl		^34^S
^35^Cl		^35^Cl
^36^Cl		^36^S
^37^Cl		^37^Cl
^38^Cl		^38^Ar
^36^Ar		^36^Ar
^37^Ar		^37^Cl
^38^Ar		^38^Ar
^39^Ar		^39^K
^40^Ar		^40^Ar
^41^Ar		^41^Ar
^37^K 		^37^Cl 
^38^K 		^38^Ar 
^39^K 		^39^K 
^40^K 		^40^Ca 
^41^K 		^41^K 
^42^K 		^42^Ca 
^40^Ca		^40^Ca
^41^Ca		^41^K
^42^Ca		^42^Ca
^43^Ca		^43^Ca
^44^Ca		^44^Ca
^45^Ca		^45^Sc
^46^Ca		^46^Ca
^47^Ca		^47^Ti
^48^Ca		^48^Ca
^49^Ca		^49^Ti
^41^Sc		^41^Ca
^42^Sc		^42^Ca
^43^Sc		^43^Ca
^44^Sc		^44^Ca
^45^Sc		^45^Sc
