12A 13A 15A 18A 20A 22A 25A 25B 30A 30B 35A 35B 35C 40A 40B 40C
6.39 6.83 7.69 8.85 9.56 10.2 11.4 11.4 12.8 12.8 14.2 14.3 14.3 15.0 15.2 15.2
4.08 4.42 4.90 5.70 6.32 7.10 7.33 7.82 9.11 9.30 8.17 10.6 10.7 8.63 12.0 12.0
1.14E-05 1.00E-05 9.94E-06 8.57E-06 7.29E-06 7.29E-06 7.29E-06 7.29E-06 7.30E-06 7.30E-06 7.50E-06 7.49E-06 7.49E-06 7.47E-06 7.47E-06 7.47E-06 
7.39E-05 7.80E-05 8.12E-05 8.78E-05 9.37E-05 9.63E-05 1.02E-04 1.02E-04 1.12E-04 1.12E-04 1.24E-04 1.24E-04 1.23E-04 1.31E-04 1.32E-04 1.32E-04 
1.00E-07 8.14E-08 1.10E-08 1.88E-09 1.05E-09 2.43E-08 5.64E-09 1.57E-09 1.33E-07 6.08E-08 7.58E-11 5.82E-10 5.10E-10 6.72E-11 2.34E-10 2.11E-10 
1.59E-07 2.89E-07 1.14E-06 1.95E-06 2.88E-06 1.24E-06 2.27E-06 2.97E-06 8.49E-07 1.21E-06 2.21E-06 5.51E-06 6.08E-06 3.08E-07 6.78E-06 7.40E-06 
5.35E-13 9.92E-13 8.33E-14 1.13E-15 5.18E-16 4.62E-14 1.61E-16 7.87E-14 3.38E-14 3.52E-14 5.10E-24 1.22E-14 3.54E-14 1.50E-21 1.12E-16 5.09E-14 
1.42E-12 3.33E-12 6.82E-12 2.69E-11 2.68E-11 1.23E-11 6.92E-12 2.32E-11 6.07E-12 1.28E-11 4.73E-18 1.36E-11 1.82E-11 1.13E-17 5.86E-12 1.29E-11 
1.84E-07 3.87E-07 5.02E-07 9.16E-08 8.80E-08 4.99E-07 1.57E-07 1.09E-06 2.20E-07 5.34E-07 2.84E-13 2.73E-07 5.57E-07 1.84E-15 8.76E-08 9.29E-07 
3.05E-08 2.80E-08 4.45E-08 1.28E-08 1.14E-08 1.21E-07 9.96E-09 3.38E-07 8.08E-09 1.18E-07 5.13E-14 4.53E-08 1.55E-07 3.16E-16 1.06E-08 2.97E-07 
4.30E-02 6.84E-02 1.45E-01 1.10E-01 8.98E-02 2.77E-01 8.31E-02 4.23E-01 1.09E-01 3.48E-01 9.79E-10 3.49E-01 4.04E-01 5.89E-10 2.85E-01 4.82E-01 
8.36E-05 6.25E-06 9.89E-06 4.79E-06 4.58E-06 2.44E-05 2.23E-05 3.97E-05 9.28E-05 1.13E-04 2.72E-10 2.27E-05 2.56E-05 1.84E-10 7.38E-06 1.64E-05 
1.80E-05 2.89E-07 4.11E-07 4.36E-07 4.04E-07 3.90E-07 7.53E-07 1.55E-06 6.66E-06 7.15E-06 2.17E-13 3.68E-06 3.82E-06 1.77E-13 4.30E-07 5.71E-07 
